feature,year,gender,number_of_jobs,median_income
0-5 years,2019-20,Males,0.068,56535
0-5 years,2020-21,Males,0.076,51475
0-5 years,2021-22,Males,0.065,54614
0-5 years,2017-18,Males,0.057,46082
0-5 years,2018-19,Males,0.056,19175
0-5 years,2019-20,Males,0.062,33168
0-5 years,2020-21,Males,0.07,21098
0-5 years,2021-22,Males,0.071,35666
0-5 years,2017-18,Males,0.104,26321
0-5 years,2018-19,Males,0.103,25189
0-5 years,2019-20,Males,0.098,28285
0-5 years,2020-21,Males,0.089,35792
0-5 years,2021-22,Males,0.089,39413
0-5 years,2017-18,Males,0.016,3965
0-5 years,2018-19,Males,0.024,14918
0-5 years,2019-20,Males,0.028,5443
0-5 years,2020-21,Males,0.028,4947
0-5 years,2021-22,Males,0.03,7806
0-5 years,2017-18,Males,0.032,12175
0-5 years,2018-19,Males,0.03,20464
0-5 years,2019-20,Males,0.028,23469
0-5 years,2020-21,Males,0.042,16691
0-5 years,2021-22,Males,0.038,18008
0-5 years,2017-18,Males,1.154,18362
0-5 years,2018-19,Males,1.066,20609
0-5 years,2019-20,Males,1.028,23414
0-5 years,2020-21,Males,1.097,23819
0-5 years,2021-22,Males,1.136,21509
0-5 years,2017-18,Females,0.025,11830
0-5 years,2018-19,Females,0.025,21973
0-5 years,2019-20,Females,0.022,24441
0-5 years,2020-21,Females,0.027,12599
0-5 years,2021-22,Females,0.032,23074
0-5 years,2017-18,Females,0.007,61228
0-5 years,2018-19,Females,0.009,37168
0-5 years,2019-20,Females,0.01,46315
0-5 years,2020-21,Females,0.007,48903
0-5 years,2021-22,Females,0.008,29027
0-5 years,2017-18,Females,0.016,22777
0-5 years,2018-19,Females,0.035,16138
0-5 years,2019-20,Females,0.038,21314
0-5 years,2020-21,Females,0.044,19460
0-5 years,2021-22,Females,0.05,18918
0-5 years,2017-18,Females,0.028,30550
0-5 years,2018-19,Females,0.025,17017
0-5 years,2019-20,Females,0.018,27819
0-5 years,2020-21,Females,0.024,19269
0-5 years,2021-22,Females,0.018,23717
0-5 years,2017-18,Females,0.241,13761
0-5 years,2018-19,Females,0.206,14949
0-5 years,2019-20,Females,0.19,16966
0-5 years,2020-21,Females,0.222,17200
0-5 years,2021-22,Females,0.238,15285
0-5 years,2017-18,Females,0.298,8896
0-5 years,2018-19,Females,0.303,8201
0-5 years,2019-20,Females,0.273,11841
0-5 years,2020-21,Females,0.348,12004
0-5 years,2021-22,Females,0.348,8786
0-5 years,2017-18,Females,0.01,12500
0-5 years,2018-19,Females,0.016,22878
0-5 years,2019-20,Females,0.014,13414
0-5 years,2020-21,Females,0.015,9690
0-5 years,2021-22,Females,0.009,4139
0-5 years,2017-18,Females,0.018,6717
0-5 years,2018-19,Females,0.021,21588
0-5 years,2019-20,Females,0.029,15378
0-5 years,2020-21,Females,0.023,38748
0-5 years,2021-22,Females,0.02,21112
0-5 years,2017-18,Females,0.032,30125
0-5 years,2018-19,Females,0.028,39570
0-5 years,2019-20,Females,0.027,29132
0-5 years,2020-21,Females,0.045,22735
0-5 years,2021-22,Females,0.043,26735
0-5 years,2017-18,Females,0.04,19602
0-5 years,2018-19,Females,0.04,10000
0-5 years,2019-20,Females,0.028,18748
0-5 years,2020-21,Females,0.024,17990
0-5 years,2021-22,Females,0.041,15174
0-5 years,2017-18,Females,0.163,23030
0-5 years,2018-19,Females,0.158,23013
0-5 years,2019-20,Females,0.132,33185
0-5 years,2020-21,Females,0.187,23021
0-5 years,2021-22,Females,0.207,21665
0-5 years,2017-18,Females,0.241,11331
0-5 years,2018-19,Females,0.242,10889
0-5 years,2019-20,Females,0.205,11172
0-5 years,2020-21,Females,0.209,9275
0-5 years,2021-22,Females,0.219,12267
0-5 years,2017-18,Females,0.101,47490
0-5 years,2018-19,Females,0.108,47329
0-5 years,2019-20,Females,0.101,49907
0-5 years,2020-21,Females,0.113,61475
0-5 years,2021-22,Females,0.136,56502
0-5 years,2017-18,Females,0.126,21442
0-5 years,2018-19,Females,0.136,23448
0-5 years,2019-20,Females,0.128,34962
0-5 years,2020-21,Females,0.151,22094
0-5 years,2021-22,Females,0.166,18076
0-5 years,2017-18,Females,0.46,15549
0-5 years,2018-19,Females,0.515,16019
0-5 years,2019-20,Females,0.412,21933
0-5 years,2020-21,Females,0.455,20880
0-5 years,2021-22,Females,0.489,16706
0-5 years,2017-18,Females,0.035,7206
0-5 years,2018-19,Females,0.031,7815
0-5 years,2019-20,Females,0.036,8447
0-5 years,2020-21,Females,0.04,12408
0-5 years,2021-22,Females,0.04,8325
0-5 years,2017-18,Females,0.13,17280
0-5 years,2018-19,Females,0.115,19820
0-5 years,2019-20,Females,0.109,16192
0-5 years,2020-21,Females,0.133,14943
0-5 years,2021-22,Females,0.141,13997
0-5 years,2017-18,Females,2.078,16129
0-5 years,2018-19,Females,2.108,16098
0-5 years,2019-20,Females,1.845,20062
0-5 years,2020-21,Females,2.148,18182
0-5 years,2021-22,Females,2.265,16524
0-5 years,2017-18,Persons,0.011,3238
0-5 years,2018-19,Persons,0.012,25233
0-5 years,2019-20,Persons,0.01,6674
0-5 years,2020-21,Persons,0.008,2286
0-5 years,2021-22,Persons,0.01,3933
0-5 years,2017-18,Persons,0.055,15659
0-5 years,2018-19,Persons,0.047,24393
0-5 years,2019-20,Persons,0.049,33951
0-5 years,2020-21,Persons,0.062,14797
0-5 years,2021-22,Persons,0.061,28433
0-5 years,2017-18,Persons,0.014,64671
0-5 years,2018-19,Persons,0.012,39192
0-5 years,2019-20,Persons,0.012,48785
0-5 years,2020-21,Persons,0.01,63786
0-5 years,2021-22,Persons,0.011,71278
0-5 years,2017-18,Persons,0.139,20393
0-5 years,2018-19,Persons,0.145,19274
0-5 years,2019-20,Persons,0.14,28395
0-5 years,2020-21,Persons,0.154,27493
0-5 years,2021-22,Persons,0.156,23824
0-5 years,2017-18,Persons,0.053,20723
0-5 years,2018-19,Persons,0.047,29482
0-5 years,2019-20,Persons,0.043,25068
0-5 years,2020-21,Persons,0.055,17739
0-5 years,2021-22,Persons,0.054,27716
0-5 years,2017-18,Persons,0.359,15452
0-5 years,2018-19,Persons,0.327,21069
0-5 years,2019-20,Persons,0.308,20747
0-5 years,2020-21,Persons,0.325,21740
0-5 years,2021-22,Persons,0.345,15967
0-5 years,2017-18,Persons,0.474,8894
0-5 years,2018-19,Persons,0.45,10225
0-5 years,2019-20,Persons,0.396,12264
0-5 years,2020-21,Persons,0.493,12491
0-5 years,2021-22,Persons,0.502,9101
0-5 years,2017-18,Persons,0.048,13498
0-5 years,2018-19,Persons,0.06,15208
0-5 years,2019-20,Persons,0.058,12485
0-5 years,2020-21,Persons,0.066,12075
0-5 years,2021-22,Persons,0.056,10945
0-5 years,2017-18,Persons,0.03,10670
0-5 years,2018-19,Persons,0.028,26675
0-5 years,2019-20,Persons,0.049,14671
0-5 years,2020-21,Persons,0.039,31638
0-5 years,2021-22,Persons,0.038,23548
0-5 years,2017-18,Persons,0.043,27758
0-5 years,2018-19,Persons,0.043,32365
0-5 years,2019-20,Persons,0.039,25042
0-5 years,2020-21,Persons,0.058,21719
0-5 years,2021-22,Persons,0.062,29504
0-5 years,2017-18,Persons,0.055,20710
0-5 years,2018-19,Persons,0.057,15450
0-5 years,2019-20,Persons,0.043,18748
0-5 years,2020-21,Persons,0.041,18653
0-5 years,2021-22,Persons,0.06,15023
0-5 years,2017-18,Persons,0.252,29063
0-5 years,2018-19,Persons,0.235,26306
0-5 years,2019-20,Persons,0.197,36103
0-5 years,2020-21,Persons,0.28,28003
0-5 years,2021-22,Persons,0.313,23065
0-5 years,2017-18,Persons,0.395,9716
0-5 years,2018-19,Persons,0.388,10340
0-5 years,2019-20,Persons,0.351,9664
0-5 years,2020-21,Persons,0.355,10574
0-5 years,2021-22,Persons,0.356,12226
0-5 years,2017-18,Persons,0.178,49673
0-5 years,2018-19,Persons,0.182,47273
0-5 years,2019-20,Persons,0.166,55047
0-5 years,2020-21,Persons,0.189,60446
0-5 years,2021-22,Persons,0.203,55496
0-5 years,2017-18,Persons,0.18,24499
0-5 years,2018-19,Persons,0.191,22349
0-5 years,2019-20,Persons,0.185,34395
0-5 years,2020-21,Persons,0.222,21949
0-5 years,2021-22,Persons,0.237,22222
0-5 years,2017-18,Persons,0.562,16492
0-5 years,2018-19,Persons,0.619,16591
0-5 years,2019-20,Persons,0.509,22403
0-5 years,2020-21,Persons,0.54,22983
0-5 years,2021-22,Persons,0.577,18795
0-5 years,2017-18,Persons,0.046,6539
0-5 years,2018-19,Persons,0.057,11187
0-5 years,2019-20,Persons,0.062,7296
0-5 years,2020-21,Persons,0.067,8496
0-5 years,2021-22,Persons,0.075,7871
0-5 years,2017-18,Persons,0.164,16449
0-5 years,2018-19,Persons,0.147,19896
0-5 years,2019-20,Persons,0.132,16750
0-5 years,2020-21,Persons,0.174,15357
0-5 years,2021-22,Persons,0.179,15775
0-5 years,2017-18,Persons,3.232,16871
0-5 years,2018-19,Persons,3.176,17352
0-5 years,2019-20,Persons,2.868,20765
0-5 years,2020-21,Persons,3.245,20002
0-5 years,2021-22,Persons,3.396,17961
0-5 years,2017-18,Males,1.042,3614
0-5 years,2018-19,Males,0.796,4050
0-5 years,2019-20,Males,0.854,3189
0-5 years,2020-21,Males,0.998,4456
0-5 years,2021-22,Males,0.726,5271
0-5 years,2017-18,Males,1.847,23243
0-5 years,2018-19,Males,2.039,21754
0-5 years,2019-20,Males,1.89,27667
0-5 years,2020-21,Males,2.175,21960
0-5 years,2021-22,Males,1.925,24273
0-5 years,2017-18,Males,2.416,17679
0-5 years,2018-19,Males,2.237,19694
0-5 years,2019-20,Males,2.108,19845
0-5 years,2020-21,Males,2.025,18744
0-5 years,2021-22,Males,1.558,17993
0-5 years,2017-18,Males,0.584,17222
0-5 years,2018-19,Males,0.575,19650
0-5 years,2019-20,Males,0.506,21701
0-5 years,2020-21,Males,0.622,14103
0-5 years,2021-22,Males,0.522,14885
0-5 years,2017-18,Males,0.816,14267
0-5 years,2018-19,Males,0.819,15590
0-5 years,2019-20,Males,0.861,16926
0-5 years,2020-21,Males,0.982,13448
0-5 years,2021-22,Males,1.025,12493
0-5 years,2017-18,Males,0.759,6082
0-5 years,2018-19,Males,0.8,7839
0-5 years,2019-20,Males,0.877,6667
0-5 years,2020-21,Males,1.052,6651
0-5 years,2021-22,Males,1.153,5022
0-5 years,2017-18,Males,0.987,6714
0-5 years,2018-19,Males,1.145,6728
0-5 years,2019-20,Males,1.258,7757
0-5 years,2020-21,Males,1.573,6534
0-5 years,2021-22,Males,1.82,6717
0-5 years,2017-18,Males,0.056,5572
0-5 years,2018-19,Males,0.074,501
0-5 years,2019-20,Males,0.064,885
0-5 years,2020-21,Males,0.074,2014
0-5 years,2021-22,Males,0.052,2285
0-5 years,2017-18,Males,0.159,12585
0-5 years,2018-19,Males,0.232,8337
0-5 years,2019-20,Males,0.247,17630
0-5 years,2020-21,Males,0.247,17259
0-5 years,2021-22,Males,0.223,15072
0-5 years,2017-18,Males,0.124,8591
0-5 years,2018-19,Males,0.112,8539
0-5 years,2019-20,Males,0.103,11340
0-5 years,2020-21,Males,0.119,6412
0-5 years,2021-22,Males,0.135,9009
0-5 years,2017-18,Males,0.416,11506
0-5 years,2018-19,Males,0.456,10391
0-5 years,2019-20,Males,0.45,9999
0-5 years,2020-21,Males,0.476,11534
0-5 years,2021-22,Males,0.532,13153
0-5 years,2017-18,Males,2.673,7489
0-5 years,2018-19,Males,2.618,8539
0-5 years,2019-20,Males,2.488,10079
0-5 years,2020-21,Males,3.342,6901
0-5 years,2021-22,Males,3.566,7750
0-5 years,2017-18,Males,0.39,8317
0-5 years,2018-19,Males,0.354,7005
0-5 years,2019-20,Males,0.382,9565
0-5 years,2020-21,Males,0.439,13639
0-5 years,2021-22,Males,0.387,9730
0-5 years,2017-18,Males,0.323,6391
0-5 years,2018-19,Males,0.274,6839
0-5 years,2019-20,Males,0.338,7528
0-5 years,2020-21,Males,0.345,11659
0-5 years,2021-22,Males,0.298,9596
0-5 years,2017-18,Males,0.705,18633
0-5 years,2018-19,Males,0.687,19429
0-5 years,2019-20,Males,0.687,16297
0-5 years,2020-21,Males,0.917,15451
0-5 years,2021-22,Males,1.031,14843
0-5 years,2017-18,Males,0.068,6267
0-5 years,2018-19,Males,0.069,10318
0-5 years,2019-20,Males,0.07,11522
0-5 years,2020-21,Males,0.067,10923
0-5 years,2021-22,Males,0.059,5728
0-5 years,2017-18,Males,0.715,9669
0-5 years,2018-19,Males,0.816,12597
0-5 years,2019-20,Males,0.879,13307
0-5 years,2020-21,Males,1.052,10914
0-5 years,2021-22,Males,0.822,11972
0-5 years,2017-18,Males,15.095,11456
0-5 years,2018-19,Males,14.944,12666
0-5 years,2019-20,Males,14.692,13374
0-5 years,2020-21,Males,17.078,10876
0-5 years,2021-22,Males,16.274,10949
0-5 years,2017-18,Males,0.598,5292
0-5 years,2018-19,Males,0.439,5886
0-5 years,2019-20,Males,0.452,4167
0-5 years,2020-21,Males,0.506,5175
0-5 years,2021-22,Males,0.318,7035
0-5 years,2017-18,Males,1.161,25258
0-5 years,2018-19,Males,1.209,23055
0-5 years,2019-20,Males,1.065,28498
0-5 years,2020-21,Males,1.115,24614
0-5 years,2021-22,Males,1.011,28101
0-5 years,2017-18,Males,1.571,19474
0-5 years,2018-19,Males,1.328,20211
0-5 years,2019-20,Males,1.153,20928
0-5 years,2020-21,Males,1.025,19612
0-5 years,2021-22,Males,0.814,18765
0-5 years,2017-18,Males,0.371,18634
0-5 years,2018-19,Males,0.334,20777
0-5 years,2019-20,Males,0.291,24617
0-5 years,2020-21,Males,0.312,15936
0-5 years,2021-22,Males,0.281,15563
0-5 years,2017-18,Males,0.432,17032
0-5 years,2018-19,Males,0.397,17810
0-5 years,2019-20,Males,0.38,19592
0-5 years,2020-21,Males,0.411,15557
0-5 years,2021-22,Males,0.425,15767
0-5 years,2017-18,Males,0.348,7954
0-5 years,2018-19,Males,0.339,9462
0-5 years,2019-20,Males,0.349,8311
0-5 years,2020-21,Males,0.375,9124
0-5 years,2021-22,Males,0.362,6664
0-5 years,2017-18,Males,0.688,6598
0-5 years,2018-19,Males,0.731,6714
0-5 years,2019-20,Males,0.805,7387
0-5 years,2020-21,Males,0.947,6578
0-5 years,2021-22,Males,1.035,7763
0-5 years,2017-18,Males,0.019,7948
0-5 years,2018-19,Males,0.033,1033
0-5 years,2019-20,Males,0.033,1962
0-5 years,2020-21,Males,0.031,2283
0-5 years,2021-22,Males,0.024,1786
0-5 years,2017-18,Males,0.089,19580
0-5 years,2018-19,Males,0.122,8380
0-5 years,2019-20,Males,0.13,18150
0-5 years,2020-21,Males,0.133,17587
0-5 years,2021-22,Males,0.132,18944
0-5 years,2017-18,Males,0.078,9033
0-5 years,2018-19,Males,0.068,8518
0-5 years,2019-20,Males,0.057,14235
0-5 years,2020-21,Males,0.059,11639
0-5 years,2021-22,Males,0.065,11759
0-5 years,2017-18,Males,0.265,11229
0-5 years,2018-19,Males,0.244,12960
0-5 years,2019-20,Males,0.251,12774
0-5 years,2020-21,Males,0.263,13055
0-5 years,2021-22,Males,0.323,16838
0-5 years,2017-18,Males,1.621,8210
0-5 years,2018-19,Males,1.463,9720
0-5 years,2019-20,Males,1.402,10523
0-5 years,2020-21,Males,1.723,7997
0-5 years,2021-22,Males,1.724,8686
0-5 years,2017-18,Males,0.247,9717
0-5 years,2018-19,Males,0.196,10036
0-5 years,2019-20,Males,0.202,11206
0-5 years,2020-21,Males,0.239,16786
0-5 years,2021-22,Males,0.217,10466
0-5 years,2017-18,Males,0.228,7587
0-5 years,2018-19,Males,0.186,7756
0-5 years,2019-20,Males,0.188,9494
0-5 years,2020-21,Males,0.169,13827
0-5 years,2021-22,Males,0.144,12410
0-5 years,2017-18,Males,0.468,22963
0-5 years,2018-19,Males,0.456,24311
0-5 years,2019-20,Males,0.444,20100
0-5 years,2020-21,Males,0.545,17174
0-5 years,2021-22,Males,0.606,17095
0-5 years,2017-18,Males,0.047,8231
0-5 years,2018-19,Males,0.032,9361
0-5 years,2019-20,Males,0.04,3419
0-5 years,2020-21,Males,0.022,5586
0-5 years,2021-22,Males,0.031,8099
0-5 years,2017-18,Males,0.415,10457
0-5 years,2018-19,Males,0.45,12920
0-5 years,2019-20,Males,0.432,14402
0-5 years,2020-21,Males,0.461,9880
0-5 years,2021-22,Males,0.334,12332
0-5 years,2017-18,Males,9.295,13137
0-5 years,2018-19,Males,8.543,13895
0-5 years,2019-20,Males,8.028,14459
0-5 years,2020-21,Males,8.667,12024
0-5 years,2021-22,Males,8.102,12908
0-5 years,2017-18,Males,0.438,2602
0-5 years,2018-19,Males,0.353,2764
0-5 years,2019-20,Males,0.4,2697
0-5 years,2020-21,Males,0.497,3904
0-5 years,2021-22,Males,0.413,4499
0-5 years,2017-18,Males,0.684,19310
0-5 years,2018-19,Males,0.83,20270
0-5 years,2019-20,Males,0.826,26591
0-5 years,2020-21,Males,1.057,19604
0-5 years,2021-22,Males,0.91,20458
0-5 years,2017-18,Males,0.843,15003
0-5 years,2018-19,Males,0.905,18541
0-5 years,2019-20,Males,0.954,18713
0-5 years,2020-21,Males,1.007,17800
0-5 years,2021-22,Males,0.747,17408
0-5 years,2017-18,Males,0.211,14442
0-5 years,2018-19,Males,0.241,16803
0-5 years,2019-20,Males,0.219,18236
0-5 years,2020-21,Males,0.314,12274
0-5 years,2021-22,Males,0.239,13647
0-5 years,2017-18,Males,0.378,12275
0-5 years,2018-19,Males,0.43,13578
0-5 years,2019-20,Males,0.474,15526
0-5 years,2020-21,Males,0.575,12555
0-5 years,2021-22,Males,0.6,11148
0-5 years,2017-18,Males,0.411,5031
0-5 years,2018-19,Males,0.455,6581
0-5 years,2019-20,Males,0.531,5930
0-5 years,2020-21,Males,0.671,5647
0-5 years,2021-22,Males,0.787,4519
0-5 years,2017-18,Males,0.292,7193
0-5 years,2018-19,Males,0.412,6832
0-5 years,2019-20,Males,0.45,8299
0-5 years,2020-21,Males,0.626,6434
0-5 years,2021-22,Males,0.792,5346
0-5 years,2017-18,Males,0.032,3648
0-5 years,2018-19,Males,0.04,366
0-5 years,2019-20,Males,0.028,784
0-5 years,2020-21,Males,0.041,1891
0-5 years,2021-22,Males,0.03,2310
0-5 years,2017-18,Males,0.068,11216
0-5 years,2018-19,Males,0.108,7611
0-5 years,2019-20,Males,0.117,15941
0-5 years,2020-21,Males,0.112,17053
0-5 years,2021-22,Males,0.089,12402
0-5 years,2017-18,Males,0.04,4813
0-5 years,2018-19,Males,0.043,8617
0-5 years,2019-20,Males,0.045,7833
0-5 years,2020-21,Males,0.065,5357
0-5 years,2021-22,Males,0.071,8170
0-5 years,2017-18,Males,0.147,11779
0-5 years,2018-19,Males,0.205,8545
0-5 years,2019-20,Males,0.197,8918
0-5 years,2020-21,Males,0.208,10149
0-5 years,2021-22,Males,0.212,6595
0-5 years,2017-18,Males,1.046,6595
0-5 years,2018-19,Males,1.157,7120
0-5 years,2019-20,Males,1.089,9289
0-5 years,2020-21,Males,1.615,6080
0-5 years,2021-22,Males,1.841,7125
0-5 years,2017-18,Males,0.14,5729
0-5 years,2018-19,Males,0.157,5085
0-5 years,2019-20,Males,0.178,9271
0-5 years,2020-21,Males,0.2,10264
0-5 years,2021-22,Males,0.17,9212
0-5 years,2017-18,Males,0.099,3760
0-5 years,2018-19,Males,0.089,5210
0-5 years,2019-20,Males,0.153,5252
0-5 years,2020-21,Males,0.172,9811
0-5 years,2021-22,Males,0.153,7102
0-5 years,2017-18,Males,0.243,13289
0-5 years,2018-19,Males,0.232,10893
0-5 years,2019-20,Males,0.24,11492
0-5 years,2020-21,Males,0.366,13275
0-5 years,2021-22,Males,0.428,12760
0-5 years,2017-18,Males,0.023,4594
0-5 years,2018-19,Males,0.037,11276
0-5 years,2019-20,Males,0.031,20811
0-5 years,2020-21,Males,0.043,15576
0-5 years,2021-22,Males,0.036,3602
0-5 years,2017-18,Males,0.302,9044
0-5 years,2018-19,Males,0.371,11818
0-5 years,2019-20,Males,0.451,12622
0-5 years,2020-21,Males,0.59,11350
0-5 years,2021-22,Males,0.49,11333
0-5 years,2017-18,Males,5.8,9574
0-5 years,2018-19,Males,6.397,11071
0-5 years,2019-20,Males,6.667,12081
0-5 years,2020-21,Males,8.416,9709
0-5 years,2021-22,Males,8.166,9252
0-5 years,2017-18,Females,0.602,3194
0-5 years,2018-19,Females,0.6,3021
0-5 years,2019-20,Females,0.603,3646
0-5 years,2020-21,Females,0.589,4265
0-5 years,2021-22,Females,0.477,3627
0-5 years,2017-18,Females,0.236,14064
0-5 years,2018-19,Females,0.273,12886
0-5 years,2019-20,Females,0.245,17572
0-5 years,2020-21,Females,0.333,12996
0-5 years,2021-22,Females,0.476,13116
0-5 years,2017-18,Females,0.076,17000
0-5 years,2018-19,Females,0.098,13732
0-5 years,2019-20,Females,0.137,12399
0-5 years,2020-21,Females,0.137,19804
0-5 years,2021-22,Females,0.114,11220
0-5 years,2017-18,Females,0.104,13788
0-5 years,2018-19,Females,0.133,11396
0-5 years,2019-20,Females,0.105,23515
0-5 years,2020-21,Females,0.135,9332
0-5 years,2021-22,Females,0.142,11555
0-5 years,2017-18,Females,0.341,9284
0-5 years,2018-19,Females,0.451,9654
0-5 years,2019-20,Females,0.517,11587
0-5 years,2020-21,Females,0.591,8825
0-5 years,2021-22,Females,0.666,9129
0-5 years,2017-18,Females,0.428,4041
0-5 years,2018-19,Females,0.467,4926
0-5 years,2019-20,Females,0.533,5203
0-5 years,2020-21,Females,0.732,5105
0-5 years,2021-22,Females,0.985,4148
0-5 years,2017-18,Females,0.06,2982
0-5 years,2018-19,Females,0.086,5980
0-5 years,2019-20,Females,0.092,9014
0-5 years,2020-21,Females,0.132,4473
0-5 years,2021-22,Females,0.211,3922
0-5 years,2017-18,Females,0.022,6643
0-5 years,2018-19,Females,0.044,484
0-5 years,2019-20,Females,0.036,714
0-5 years,2020-21,Females,0.028,2655
0-5 years,2021-22,Females,0.017,1750
0-5 years,2017-18,Females,0.084,10522
0-5 years,2018-19,Females,0.107,10536
0-5 years,2019-20,Females,0.079,20741
0-5 years,2020-21,Females,0.106,12018
0-5 years,2021-22,Females,0.09,7892
0-5 years,2017-18,Females,0.048,7215
0-5 years,2018-19,Females,0.047,5261
0-5 years,2019-20,Females,0.034,5443
0-5 years,2020-21,Females,0.063,4232
0-5 years,2021-22,Females,0.06,5722
0-5 years,2017-18,Females,0.157,6067
0-5 years,2018-19,Females,0.188,8438
0-5 years,2019-20,Females,0.17,8738
0-5 years,2020-21,Females,0.217,7949
0-5 years,2021-22,Females,0.242,6249
0-5 years,2017-18,Females,0.774,6375
0-5 years,2018-19,Females,0.938,6255
0-5 years,2019-20,Females,0.814,8242
0-5 years,2020-21,Females,1.139,5278
0-5 years,2021-22,Females,1.802,5471
0-5 years,2017-18,Females,0.077,21981
0-5 years,2018-19,Females,0.113,24487
0-5 years,2019-20,Females,0.113,22528
0-5 years,2020-21,Females,0.126,18313
0-5 years,2021-22,Females,0.083,8499
0-5 years,2017-18,Females,0.289,4577
0-5 years,2018-19,Females,0.314,4508
0-5 years,2019-20,Females,0.328,6598
0-5 years,2020-21,Females,0.306,7687
0-5 years,2021-22,Females,0.241,6401
0-5 years,2017-18,Females,1.099,13601
0-5 years,2018-19,Females,1.073,14421
0-5 years,2019-20,Females,1.074,15230
0-5 years,2020-21,Females,1.435,12004
0-5 years,2021-22,Females,1.542,11928
0-5 years,2017-18,Females,0.027,4798
0-5 years,2018-19,Females,0.038,3083
0-5 years,2019-20,Females,0.038,5353
0-5 years,2020-21,Females,0.054,4678
0-5 years,2021-22,Females,0.055,1619
0-5 years,2017-18,Females,0.227,8520
0-5 years,2018-19,Females,0.302,7360
0-5 years,2019-20,Females,0.294,9748
0-5 years,2020-21,Females,0.363,7735
0-5 years,2021-22,Females,0.37,6356
0-5 years,2017-18,Females,4.935,7291
0-5 years,2018-19,Females,5.482,7273
0-5 years,2019-20,Females,5.408,9206
0-5 years,2020-21,Females,6.65,7497
0-5 years,2021-22,Females,7.719,6741
0-5 years,2017-18,Females,0.244,3036
0-5 years,2018-19,Females,0.289,3070
0-5 years,2019-20,Females,0.262,4515
0-5 years,2020-21,Females,0.248,4527
0-5 years,2021-22,Females,0.214,3900
0-5 years,2017-18,Females,0.102,29015
0-5 years,2018-19,Females,0.108,16399
0-5 years,2019-20,Females,0.097,23805
0-5 years,2020-21,Females,0.144,14668
0-5 years,2021-22,Females,0.217,15644
0-5 years,2017-18,Females,0.028,16909
0-5 years,2018-19,Females,0.036,13281
0-5 years,2019-20,Females,0.053,12225
0-5 years,2020-21,Females,0.04,26507
0-5 years,2021-22,Females,0.045,9988
0-5 years,2017-18,Females,0.043,19561
0-5 years,2018-19,Females,0.061,11897
0-5 years,2019-20,Females,0.049,30730
0-5 years,2020-21,Females,0.048,8321
0-5 years,2021-22,Females,0.049,13965
0-5 years,2017-18,Females,0.094,10630
0-5 years,2018-19,Females,0.105,12104
0-5 years,2019-20,Females,0.116,12999
0-5 years,2020-21,Females,0.111,7799
0-5 years,2021-22,Females,0.151,10948
0-5 years,2017-18,Females,0.115,7270
0-5 years,2018-19,Females,0.127,7002
0-5 years,2019-20,Females,0.132,7351
0-5 years,2020-21,Females,0.164,6751
0-5 years,2021-22,Females,0.259,5318
0-5 years,2017-18,Females,0.025,6440
0-5 years,2018-19,Females,0.032,8999
0-5 years,2019-20,Females,0.032,12931
0-5 years,2020-21,Females,0.052,4868
0-5 years,2021-22,Females,0.088,5916
0-5 years,2017-18,Females,0.014,21873
0-5 years,2018-19,Females,0.015,303
0-5 years,2019-20,Females,0.015,478
0-5 years,2020-21,Females,0.009,1506
0-5 years,2021-22,Females,0.011,677
0-5 years,2017-18,Females,0.035,7808
0-5 years,2018-19,Females,0.035,16622
0-5 years,2019-20,Females,0.021,39287
0-5 years,2020-21,Females,0.035,10220
0-5 years,2021-22,Females,0.038,11969
0-5 years,2017-18,Females,0.014,5753
0-5 years,2018-19,Females,0.016,5260
0-5 years,2019-20,Females,0.012,3781
0-5 years,2020-21,Females,0.015,2248
0-5 years,2021-22,Females,0.018,4116
0-5 years,2017-18,Females,0.048,6727
0-5 years,2018-19,Females,0.054,8617
0-5 years,2019-20,Females,0.046,7022
0-5 years,2020-21,Females,0.06,10959
0-5 years,2021-22,Females,0.098,6252
0-5 years,2017-18,Females,0.313,8455
0-5 years,2018-19,Females,0.346,8364
0-5 years,2019-20,Females,0.318,8856
0-5 years,2020-21,Females,0.418,5682
0-5 years,2021-22,Females,0.737,6257
0-5 years,2017-18,Females,0.029,12584
0-5 years,2018-19,Females,0.026,11726
0-5 years,2019-20,Females,0.021,7571
0-5 years,2020-21,Females,0.028,9438
0-5 years,2021-22,Females,0.027,6994
0-5 years,2017-18,Females,0.119,7013
0-5 years,2018-19,Females,0.09,6154
0-5 years,2019-20,Females,0.09,8961
0-5 years,2020-21,Females,0.082,8428
0-5 years,2021-22,Females,0.089,6413
0-5 years,2017-18,Females,0.417,18104
0-5 years,2018-19,Females,0.386,17522
0-5 years,2019-20,Females,0.374,16743
0-5 years,2020-21,Females,0.457,13776
0-5 years,2021-22,Females,0.587,15947
0-5 years,2017-18,Females,0.015,4798
0-5 years,2018-19,Females,0.019,5969
0-5 years,2019-20,Females,0.01,2717
0-5 years,2020-21,Females,0.013,5283
0-5 years,2021-22,Females,0.019,2816
0-5 years,2017-18,Females,0.09,8807
0-5 years,2018-19,Females,0.103,8871
0-5 years,2019-20,Females,0.101,10823
0-5 years,2020-21,Females,0.136,9242
0-5 years,2021-22,Females,0.152,7420
0-5 years,2017-18,Females,1.841,9300
0-5 years,2018-19,Females,1.929,8876
0-5 years,2019-20,Females,1.83,9864
