feature,gender,median_income,number_of_jobs,PROPORTION
Permanent Other,Males,90k-110k,16.039,5.341605015794753e-05
Permanent Other,Males,110k-130k,14.326,4.771110010366957e-05
Permanent Other,Males,130-150k,11.786,3.925192138921189e-05
Permanent Other,Males,>150k,0.009,2.997346788587366e-08
Permanent Skilled,Females,<10k,516.634,0.0017205902897500507
Permanent Skilled,Females,10k-20k,2668.609,0.008887496240161493
Permanent Skilled,Females,20k-30k,7935.996,0.026429924583157984
Permanent Skilled,Females,30k-50k,11388.582,0.03792836631584876
Permanent Skilled,Females,50k-70k,1838.788,0.006123872562992207
Permanent Skilled,Females,70k-90k,154.887,0.0005158333911599238
Permanent Skilled,Females,90k-110k,39.658,0.00013207642104644198
Permanent Skilled,Females,110k-130k,2.649,8.822190714408815e-06
Permanent Skilled,Females,130-150k,0.0,0.0
Permanent Skilled,Females,>150k,0.004,1.3321541282610517e-08
Permanent Skilled,Males,<10k,152.857,0.000509072708958999
Permanent Skilled,Males,10k-20k,1964.578,0.0065428017324771015
Permanent Skilled,Males,20k-30k,3952.013,0.01316172608222836
Permanent Skilled,Males,30k-50k,12220.666,0.04069952665499869
Permanent Skilled,Males,50k-70k,8363.228,0.027852771764471047
Permanent Skilled,Males,70k-90k,2875.043,0.009575001003445098
Permanent Skilled,Males,90k-110k,286.743,0.0009549646779998969
Permanent Skilled,Males,110k-130k,205.63400000000001,0.0006848404550270829
Permanent Skilled,Males,130-150k,92.82900000000001,0.00030915633893086297
Permanent Skilled,Males,>150k,0.0,0.0
Provisional,Females,<10k,410.278,0.0013663838285867195
Provisional,Females,10k-20k,1432.114,0.00476949144310112
Provisional,Females,20k-30k,172.33,0.0005739253023080677
Provisional,Females,30k-50k,0.702,2.3379304950981456e-06
Provisional,Females,50k-70k,0.132,4.3961086232614713e-07
Provisional,Females,70k-90k,0.0,0.0
Provisional,Females,90k-110k,0.0,0.0
Provisional,Females,110k-130k,0.0,0.0
Provisional,Females,130-150k,0.0,0.0
Provisional,Females,>150k,0.0,0.0
Provisional,Males,<10k,450.06,0.0014988732174129225
Provisional,Males,10k-20k,2180.2019999999998,0.007260912736857503
Provisional,Males,20k-30k,201.544,0.0006712191790656136
Provisional,Males,30k-50k,4.908,1.6345531153763107e-05
Provisional,Males,50k-70k,0.076,2.5310928436959983e-07
Provisional,Males,70k-90k,0.0,0.0
Provisional,Males,90k-110k,0.0,0.0
Provisional,Males,110k-130k,0.0,0.0
Provisional,Males,130-150k,0.0,0.0
Provisional,Males,>150k,0.0,0.0
Temporary,Females,<10k,6478.743,0.02157671058348098
Temporary,Females,10k-20k,17923.411,0.059691864890423864
Temporary,Females,20k-30k,3330.679,0.01109244444940598
Temporary,Females,30k-50k,487.18,0.001622497120515548
Temporary,Females,50k-70k,31.153,0.00010375149389429137
Temporary,Females,70k-90k,37.023,0.00012330085572652232
Temporary,Females,90k-110k,0.0,0.0
Temporary,Females,110k-130k,0.0,0.0
Temporary,Females,130-150k,0.0,0.0
Temporary,Females,>150k,0.0,0.0
Temporary,Males,<10k,6047.611,0.02014087489941737
Temporary,Males,10k-20k,22462.972,0.07481035220703104
Temporary,Males,20k-30k,3754.501,0.012503935016775618
Temporary,Males,30k-50k,2606.946,0.00868213469013409
Temporary,Males,50k-70k,69.17,0.0002303627526295424
Temporary,Males,70k-90k,3.702,1.2329086457056034e-05
Temporary,Males,90k-110k,176.35,0.0005873134512970912
Temporary,Males,110k-130k,50.089999999999996,0.00016681900071149018
Temporary,Males,130-150k,0.0,0.0
Temporary,Males,>150k,0.0,0.0
Temporary Other,Females,<10k,84.151,0.0002802552551182394
Temporary Other,Females,10k-20k,451.298,0.0015029962344398904
Temporary Other,Females,20k-30k,74.486,0.0002480670809941318
Temporary Other,Females,30k-50k,13.727,4.571619929659865e-05
Temporary Other,Females,50k-70k,0.539,1.7950776878317673e-06
Temporary Other,Females,70k-90k,0.08,2.6643082565221035e-07
Temporary Other,Females,90k-110k,0.018000000000000002,5.994693577174734e-08
Temporary Other,Females,110k-130k,0.0,0.0
Temporary Other,Females,130-150k,0.0,0.0
Temporary Other,Females,>150k,0.0,0.0
Temporary Other,Males,<10k,13.554,4.514004263612574e-05
Temporary Other,Males,10k-20k,605.255,0.0020157323672516073
Temporary Other,Males,20k-30k,519.386,0.0017297555101524866
Temporary Other,Males,30k-50k,113.961,0.0003795340415268943
Temporary Other,Males,50k-70k,3.203,1.0667224182050371e-05
